,precision,recall,f1-score,support
0,0.3607305936073059,0.3910891089108911,0.3752969121140142,606.0
1,0.2903225806451613,0.16304347826086957,0.2088167053364269,552.0
2,0.23273657289002558,0.19527896995708155,0.21236872812135357,466.0
3,0.2102803738317757,0.35904255319148937,0.26522593320235754,376.0
accuracy,0.2765,0.2765,0.2765,0.2765
macro avg,0.2735175302435671,0.2771135275800829,0.265427069693538,2000.0
weighted avg,0.28319073388482796,0.2765,0.27069276413771876,2000.0
