,precision,recall,f1-score,support
0,0.34689265536723163,0.5066006600660066,0.4118041582830315,606.0
1,0.2583479789103691,0.266304347826087,0.2622658340767172,552.0
2,0.2632978723404255,0.21244635193133046,0.23515439429928742,466.0
3,0.21176470588235294,0.09574468085106383,0.13186813186813187,376.0
accuracy,0.2945,0.2945,0.2945,0.2945
macro avg,0.27007580312509477,0.27027401016862196,0.260273129631792,2000.0
weighted avg,0.27757268571673455,0.2945,0.2767442128278753,2000.0
