Feature,Importance
Course,0.08306659
Gender,0.07428087
Physical_Activity,0.07334633
Family_History,0.07330211
Social_Support,0.073217325
Residence_Type,0.0725089
Financial_Stress,0.07142929
Extracurricular_Involvement,0.071192324
Diet_Quality,0.0710232
Counseling_Service_Use,0.070375495
Relationship_Status,0.06879612
Sleep_Quality,0.067594804
Substance_Use,0.06692242
Chronic_Illness,0.06294409
